matchid,year,innings,bowler,over,runs,wickets,stat,url
980901,2016,1,RP Singh,1,8,0,1-0-8-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,I Sharma,2,4,1,1-0-4-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,RP Singh,3,8,0,2-0-16-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,I Sharma,4,8,1,2-0-12-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,MR Marsh,5,1,2,1-0-1-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,I Sharma,6,7,0,3-0-19-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,MR Marsh,7,3,0,2-0-4-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,R Bhatia,8,0,1,1-1-0-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,MR Marsh,9,7,0,3-0-11-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,R Bhatia,10,1,0,2-1-1-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,M Ashwin,11,3,1,1-0-3-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,R Bhatia,12,6,0,3-1-7-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,M Ashwin,13,5,0,2-0-8-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,R Bhatia,14,3,0,4-1-10-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,M Ashwin,15,3,0,3-0-11-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,R Ashwin,16,7,1,1-0-7-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,M Ashwin,17,5,0,4-0-16-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,MR Marsh,18,10,0,4-0-21-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,RP Singh,19,14,1,3-0-30-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,1,I Sharma,20,17,0,4-0-36-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=1;view=commentary
980901,2016,2,MJ McClenaghan,1,8,0,1-0-8-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,JJ Bumrah,2,5,0,1-0-5-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,MJ McClenaghan,3,5,0,2-0-13-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,JJ Bumrah,4,5,0,2-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,MJ McClenaghan,5,14,0,3-0-27-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,JJ Bumrah,6,20,0,3-0-30-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,R Vinay Kumar,7,4,0,1-0-4-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,S Gopal,8,5,0,1-0-5-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,R Vinay Kumar,9,10,0,2-0-14-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,Harbhajan Singh,10,3,1,1-0-3-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,S Gopal,11,6,0,2-0-11-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,Harbhajan Singh,12,11,0,2-0-14-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,S Gopal,13,7,0,3-0-18-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980901,2016,2,Harbhajan Singh,14,10,0,3-0-24-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html?innings=2;view=commentary
980903,2016,1,AD Russell,1,13,0,1-0-13-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,UT Yadav,2,10,0,1-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,AD Russell,3,2,2,2-0-15-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,JW Hastings,4,1,0,1-0-1-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,AD Russell,5,9,1,3-0-24-3,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,JW Hastings,6,0,1,2-1-1-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,UT Yadav,7,7,0,2-0-17-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,C Munro,8,7,0,1-0-7-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,UT Yadav,9,4,0,3-0-21-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,GB Hogg,10,2,1,1-0-2-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,PP Chawla,11,13,1,1-0-13-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,GB Hogg,12,12,0,2-0-14-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,PP Chawla,13,4,1,2-0-17-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,GB Hogg,14,5,1,3-0-19-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,PP Chawla,15,3,0,3-0-20-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,GB Hogg,16,0,1,4-1-19-3,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,1,PP Chawla,17,1,0,4-0-21-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=1;view=commentary
980903,2016,2,NM Coulter-Nile,1,4,0,1-0-4-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,Z Khan,2,16,0,1-0-16-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,NM Coulter-Nile,3,9,0,2-0-13-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,CH Morris,4,7,0,1-0-7-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,Z Khan,5,6,0,2-0-22-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,CH Morris,6,5,0,2-0-12-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,CR Brathwaite,7,2,0,1-0-2-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,A Mishra,8,4,0,1-0-4-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,CR Brathwaite,9,7,0,2-0-9-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,A Mishra,10,7,1,2-0-11-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,CH Morris,11,7,0,3-0-19-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,NM Coulter-Nile,12,6,0,3-0-19-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,CH Morris,13,2,0,4-0-21-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980903,2016,2,NM Coulter-Nile,14,13,0,4-0-32-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html?innings=2;view=commentary
980905,2016,1,P Kumar,1,3,0,1-0-3-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,PJ Sangwan,2,10,0,1-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,P Kumar,3,7,0,2-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,PJ Sangwan,4,11,0,2-0-21-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,JP Faulkner,5,14,0,1-0-14-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,S Ladda,6,7,0,1-0-7-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,RA Jadeja,7,3,0,1-0-3-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,S Ladda,8,14,0,2-0-21-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,RA Jadeja,9,11,1,2-0-14-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,DJ Bravo,10,5,0,1-0-5-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,RA Jadeja,11,11,1,3-0-25-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,DJ Bravo,12,4,2,2-0-9-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,RA Jadeja,13,5,0,4-0-30-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,DJ Bravo,14,7,0,3-0-16-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,JP Faulkner,15,11,0,2-0-25-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,P Kumar,16,5,0,3-0-15-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,JP Faulkner,17,5,0,3-0-30-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,P Kumar,18,10,0,4-0-25-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,JP Faulkner,19,9,0,4-0-39-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,1,DJ Bravo,20,6,2,4-0-22-4,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=1;view=commentary
980905,2016,2,Sandeep Sharma,1,1,1,1-0-1-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MG Johnson,2,11,0,1-0-11-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,Sandeep Sharma,3,11,0,2-0-12-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MM Sharma,4,13,0,1-0-13-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MG Johnson,5,9,0,2-0-20-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MP Stoinis,6,12,1,1-0-12-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,AR Patel,7,11,0,1-0-11-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MP Stoinis,8,15,0,2-0-27-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,AR Patel,9,6,0,2-0-17-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,P Sahu,10,9,0,1-0-9-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,Sandeep Sharma,11,9,0,3-0-21-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,P Sahu,12,10,1,2-0-19-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MM Sharma,13,4,0,2-0-17-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,P Sahu,14,9,0,3-0-28-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MG Johnson,15,2,0,3-0-22-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,P Sahu,16,7,0,4-0-35-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980905,2016,2,MG Johnson,17,13,1,4-0-35-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html?innings=2;view=commentary
980907,2016,1,A Nehra,1,5,0,1-0-5-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,B Kumar,2,3,1,1-0-3-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,Mustafizur Rahman,3,4,0,1-0-4-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,A Nehra,4,15,0,2-0-20-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,B Kumar,5,16,0,2-0-19-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,Mustafizur Rahman,6,6,0,2-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,MC Henriques,7,3,0,1-0-3-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,KV Sharma,8,9,0,1-0-9-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,MC Henriques,9,12,0,2-0-15-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,KV Sharma,10,15,0,2-0-24-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,A Ashish Reddy,11,10,0,0.5-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,MC Henriques,12,12,0,3-0-27-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,KV Sharma,13,14,0,3-0-38-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,MC Henriques,14,14,0,4-0-41-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,A Ashish Reddy,15,15,0,1.5-0-25-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,B Kumar,16,8,1,3-0-27-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,KV Sharma,17,19,0,4-0-57-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,Mustafizur Rahman,18,3,2,3-0-13-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,B Kumar,19,28,0,4-0-55-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,1,Mustafizur Rahman,20,13,0,4-0-26-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=1;view=commentary
980907,2016,2,AF Milne,1,12,0,1-0-12-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=2;view=commentary
980907,2016,2,SR Watson,2,10,0,1-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=2;view=commentary
980907,2016,2,AF Milne,3,13,0,2-0-25-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=2;view=commentary
980907,2016,2,Parvez Rasool,4,3,1,1-0-3-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=2;view=commentary
980907,2016,2,HV Patel,5,11,0,1-0-11-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=2;view=commentary
980907,2016,2,Parvez Rasool,6,7,0,2-0-10-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=2;view=commentary
980907,2016,2,HV Patel,7,8,0,2-0-19-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html?innings=2;view=commentary
